l_dm,t_ms,v_m_s,p_MPa,pd_MPa,pt_MPa,psi,Z,label
16.5234,11.0467,234.16,9.51,29.91,-10.89,0.994744,1.475188,
16.5638,11.0639,234.30,9.49,29.87,-10.88,0.994961,1.476185,
16.6044,11.0812,234.43,9.47,29.82,-10.88,0.995177,1.477180,
16.6449,11.0985,234.56,9.45,29.77,-10.87,0.995392,1.478174,
16.6855,11.1158,234.69,9.43,29.72,-10.87,0.995606,1.479166,
16.7260,11.1331,234.83,9.41,29.67,-10.86,0.995819,1.480156,
16.7667,11.1504,234.96,9.39,29.63,-10.86,0.996031,1.481144,
16.8073,11.1677,235.09,9.36,29.58,-10.85,0.996242,1.482130,
16.8479,11.1850,235.22,9.34,29.53,-10.85,0.996452,1.483114,
16.8886,11.2022,235.35,9.32,29.48,-10.84,0.996661,1.484097,
16.9293,11.2195,235.48,9.30,29.44,-10.83,0.996869,1.485077,
16.9700,11.2368,235.62,9.28,29.39,-10.83,0.997076,1.486056,
17.0108,11.2541,235.75,9.26,29.34,-10.82,0.997282,1.487033,
17.0515,11.2714,235.88,9.24,29.30,-10.82,0.997487,1.488009,
17.0923,11.2887,236.01,9.22,29.25,-10.81,0.997692,1.488982,
17.1331,11.3060,236.14,9.20,29.20,-10.81,0.997895,1.489954,
17.1740,11.3233,236.26,9.18,29.16,-10.80,0.998097,1.490923,
17.2148,11.3405,236.39,9.16,29.11,-10.80,0.998298,1.491891,
17.2557,11.3578,236.52,9.14,29.07,-10.79,0.998499,1.492858,
17.2966,11.3751,236.65,9.12,29.02,-10.79,0.998698,1.493822,
17.3375,11.3924,236.78,9.10,28.98,-10.78,0.998897,1.494785,
17.3785,11.4097,236.91,9.08,28.93,-10.78,0.999094,1.495746,
17.4194,11.4270,237.03,9.06,28.88,-10.77,0.999291,1.496705,
17.4604,11.4443,237.16,9.04,28.84,-10.77,0.999486,1.497662,
17.5014,11.4616,237.29,9.02,28.79,-10.76,0.999681,1.498618,
17.5425,11.4788,237.41,9.00,28.75,-10.76,0.999875,1.499572,
17.5613,11.4868,237.47,8.99,28.73,-10.75,0.999997,1.500000,燃烧结束点
17.5835,11.4961,237.54,8.98,28.70,-10.75,1.000000,1.500001,
17.6246,11.5134,237.67,8.96,28.66,-10.74,1.000000,1.500001,
17.6657,11.5307,237.79,8.94,28.61,-10.74,1.000000,1.500001,
17.7068,11.5480,237.92,8.92,28.57,-10.73,1.000000,1.500001,
17.7479,11.5653,238.04,8.90,28.53,-10.73,1.000000,1.500001,
17.7891,11.5826,238.17,8.88,28.48,-10.72,1.000000,1.500001,
17.8303,11.5999,238.29,8.86,28.44,-10.72,1.000000,1.500001,
17.8715,11.6171,238.42,8.84,28.39,-10.71,1.000000,1.500001,
17.9127,11.6344,238.54,8.82,28.35,-10.71,1.000000,1.500001,
17.9540,11.6517,238.67,8.80,28.30,-10.70,1.000000,1.500001,
17.9952,11.6690,238.79,8.78,28.26,-10.70,1.000000,1.500001,
18.0365,11.6863,238.91,8.76,28.22,-10.69,1.000000,1.500001,
18.0778,11.7036,239.04,8.74,28.17,-10.69,1.000000,1.500001,
18.1192,11.7209,239.16,8.72,28.13,-10.68,1.000000,1.500001,
18.1605,11.7382,239.28,8.71,28.09,-10.67,1.000000,1.500001,
18.2019,11.7554,239.40,8.69,28.04,-10.67,1.000000,1.500001,
18.2433,11.7727,239.53,8.67,28.00,-10.66,1.000000,1.500001,
18.2847,11.7900,239.65,8.65,27.96,-10.66,1.000000,1.500001,
18.3262,11.8073,239.77,8.63,27.92,-10.65,1.000000,1.500001,
18.3676,11.8246,239.89,8.61,27.87,-10.65,1.000000,1.500001,
18.4091,11.8419,240.01,8.59,27.83,-10.64,1.000000,1.500001,
18.4506,11.8592,240.13,8.58,27.79,-10.64,1.000000,1.500001,
18.4921,11.8765,240.25,8.56,27.75,-10.63,1.000000,1.500001,
18.5337,11.8937,240.37,8.54,27.70,-10.63,1.000000,1.500001,
18.5752,11.9110,240.49,8.52,27.66,-10.62,1.000000,1.500001,
18.6168,11.9283,240.61,8.50,27.62,-10.61,1.000000,1.500001,
18.6584,11.9456,240.73,8.48,27.58,-10.61,1.000000,1.500001,
18.7001,11.9629,240.85,8.47,27.54,-10.60,1.000000,1.500001,
18.7417,11.9802,240.97,8.45,27.49,-10.60,1.000000,1.500001,
18.7834,11.9975,241.09,8.43,27.45,-10.59,1.000000,1.500001,
18.8251,12.0148,241.21,8.41,27.41,-10.59,1.000000,1.500001,
18.8668,12.0320,241.32,8.39,27.37,-10.58,1.000000,1.500001,
18.9085,12.0493,241.44,8.38,27.33,-10.58,1.000000,1.500001,
18.9502,12.0666,241.56,8.36,27.29,-10.57,1.000000,1.500001,
18.9920,12.0839,241.68,8.34,27.25,-10.56,1.000000,1.500001,
19.0338,12.1012,241.79,8.32,27.21,-10.56,1.000000,1.500001,
19.0756,12.1185,241.91,8.31,27.16,-10.55,1.000000,1.500001,
19.1174,12.1358,242.03,8.29,27.12,-10.55,1.000000,1.500001,
19.1593,12.1531,242.14,8.27,27.08,-10.54,1.000000,1.500001,
19.2012,12.1703,242.26,8.25,27.04,-10.54,1.000000,1.500001,
19.2431,12.1876,242.38,8.24,27.00,-10.53,1.000000,1.500001,
19.2850,12.2049,242.49,8.22,26.96,-10.53,1.000000,1.500001,
19.3269,12.2222,242.61,8.20,26.92,-10.52,1.000000,1.500001,
19.3689,12.2395,242.72,8.18,26.88,-10.51,1.000000,1.500001,
19.4108,12.2568,242.84,8.17,26.84,-10.51,1.000000,1.500001,
19.4528,12.2741,242.95,8.15,26.80,-10.50,1.000000,1.500001,
19.4948,12.2913,243.07,8.13,26.76,-10.50,1.000000,1.500001,
19.5369,12.3086,243.18,8.12,26.72,-10.49,1.000000,1.500001,
19.5789,12.3259,243.30,8.10,26.68,-10.49,1.000000,1.500001,
19.6210,12.3432,243.41,8.08,26.65,-10.48,1.000000,1.500001,
19.6631,12.3605,243.52,8.07,26.61,-10.47,1.000000,1.500001,
19.7052,12.3778,243.64,8.05,26.57,-10.47,1.000000,1.500001,
19.7473,12.3951,243.75,8.03,26.53,-10.46,1.000000,1.500001,
19.7894,12.4124,243.86,8.02,26.49,-10.46,1.000000,1.500001,
19.8316,12.4296,243.97,8.00,26.45,-10.45,1.000000,1.500001,
19.8738,12.4469,244.09,7.98,26.41,-10.45,1.000000,1.500001,
19.9160,12.4642,244.20,7.97,26.37,-10.44,1.000000,1.500001,
19.9582,12.4815,244.31,7.95,26.33,-10.43,1.000000,1.500001,
20.0005,12.4988,244.42,7.93,26.30,-10.43,1.000000,1.500001,
20.0427,12.5161,244.53,7.92,26.26,-10.42,1.000000,1.500001,
20.0850,12.5334,244.64,7.90,26.22,-10.42,1.000000,1.500001,
20.1273,12.5507,244.76,7.88,26.18,-10.41,1.000000,1.500001,
20.1696,12.5679,244.87,7.87,26.14,-10.41,1.000000,1.500001,
20.2120,12.5852,244.98,7.85,26.11,-10.40,1.000000,1.500001,
20.2543,12.6025,245.09,7.84,26.07,-10.39,1.000000,1.500001,
20.2967,12.6198,245.20,7.82,26.03,-10.39,1.000000,1.500001,
20.3391,12.6371,245.31,7.80,25.99,-10.38,1.000000,1.500001,
20.3815,12.6544,245.42,7.79,25.95,-10.38,1.000000,1.500001,
20.4240,12.6717,245.53,7.77,25.92,-10.37,1.000000,1.500001,
20.4664,12.6890,245.64,7.76,25.88,-10.37,1.000000,1.500001,
20.5089,12.7062,245.74,7.74,25.84,-10.36,1.000000,1.500001,
20.5514,12.7235,245.85,7.73,25.81,-10.35,1.000000,1.500001,
20.5939,12.7408,245.96,7.71,25.77,-10.35,1.000000,1.500001,
20.6364,12.7581,246.07,7.69,25.73,-10.34,1.000000,1.500001,
20.6790,12.7754,246.18,7.68,25.69,-10.34,1.000000,1.500001,
20.7215,12.7927,246.29,7.66,25.66,-10.33,1.000000,1.500001,
20.7641,12.8100,246.39,7.65,25.62,-10.33,1.000000,1.500001,
20.8067,12.8273,246.50,7.63,25.58,-10.32,1.000000,1.500001,
20.8494,12.8445,246.61,7.62,25.55,-10.31,1.000000,1.500001,
20.8920,12.8618,246.72,7.60,25.51,-10.31,1.000000,1.500001,
20.9347,12.8791,246.82,7.59,25.48,-10.30,1.000000,1.500001,
20.9773,12.8964,246.93,7.57,25.44,-10.30,1.000000,1.500001,
21.0200,12.9137,247.03,7.56,25.40,-10.29,1.000000,1.500001,
21.0628,12.9310,247.14,7.54,25.37,-10.29,1.000000,1.500001,
21.1055,12.9483,247.25,7.53,25.33,-10.28,1.000000,1.500001,
21.1482,12.9656,247.35,7.51,25.30,-10.27,1.000000,1.500001,
21.1910,12.9828,247.46,7.50,25.26,-10.27,1.000000,1.500001,
21.2338,13.0001,247.56,7.48,25.22,-10.26,1.000000,1.500001,
21.2766,13.0174,247.67,7.47,25.19,-10.26,1.000000,1.500001,
21.3194,13.0347,247.77,7.45,25.15,-10.25,1.000000,1.500001,
21.3623,13.0520,247.88,7.44,25.12,-10.24,1.000000,1.500001,
21.4051,13.0693,247.98,7.42,25.08,-10.24,1.000000,1.500001,
21.4480,13.0866,248.09,7.41,25.05,-10.23,1.000000,1.500001,
21.4909,13.1039,248.19,7.39,25.01,-10.23,1.000000,1.500001,
21.5338,13.1211,248.29,7.38,24.98,-10.22,1.000000,1.500001,
21.5768,13.1384,248.40,7.36,24.94,-10.22,1.000000,1.500001,
21.6197,13.1557,248.50,7.35,24.91,-10.21,1.000000,1.500001,
21.6627,13.1730,248.61,7.33,24.87,-10.20,1.000000,1.500001,
21.7057,13.1903,248.71,7.32,24.84,-10.20,1.000000,1.500001,
21.7487,13.2076,248.81,7.31,24.80,-10.19,1.000000,1.500001,
21.7917,13.2249,248.91,7.29,24.77,-10.19,1.000000,1.500001,
21.8347,13.2422,249.02,7.28,24.74,-10.18,1.000000,1.500001,
21.8778,13.2594,249.12,7.26,24.70,-10.17,1.000000,1.500001,
21.9209,13.2767,249.22,7.25,24.67,-10.17,1.000000,1.500001,
21.9640,13.2940,249.32,7.24,24.63,-10.16,1.000000,1.500001,
22.0071,13.3113,249.42,7.22,24.60,-10.16,1.000000,1.500001,
22.0502,13.3286,249.53,7.21,24.57,-10.15,1.000000,1.500001,
22.0933,13.3459,249.63,7.19,24.53,-10.15,1.000000,1.500001,
22.1365,13.3632,249.73,7.18,24.50,-10.14,1.000000,1.500001,
22.1797,13.3805,249.83,7.17,24.46,-10.13,1.000000,1.500001,
22.2229,13.3977,249.93,7.15,24.43,-10.13,1.000000,1.500001,
22.2661,13.4150,250.03,7.14,24.40,-10.12,1.000000,1.500001,
22.3093,13.4323,250.13,7.12,24.36,-10.12,1.000000,1.500001,
22.3526,13.4496,250.23,7.11,24.33,-10.11,1.000000,1.500001,
22.3958,13.4669,250.33,7.10,24.30,-10.10,1.000000,1.500001,
22.4391,13.4842,250.43,7.08,24.26,-10.10,1.000000,1.500001,
22.4824,13.5015,250.53,7.07,24.23,-10.09,1.000000,1.500001,
22.5257,13.5188,250.63,7.06,24.20,-10.09,1.000000,1.500001,
22.5691,13.5360,250.73,7.04,24.16,-10.08,1.000000,1.500001,
22.6124,13.5533,250.83,7.03,24.13,-10.08,1.000000,1.500001,
22.6558,13.5706,250.92,7.01,24.10,-10.07,1.000000,1.500001,
22.6992,13.5879,251.02,7.00,24.07,-10.06,1.000000,1.500001,
22.7426,13.6052,251.12,6.99,24.03,-10.06,1.000000,1.500001,
22.7860,13.6225,251.22,6.97,24.00,-10.05,1.000000,1.500001,
22.8295,13.6398,251.32,6.96,23.97,-10.05,1.000000,1.500001,
22.8729,13.6571,251.42,6.95,23.94,-10.04,1.000000,1.500001,
22.9164,13.6743,251.51,6.94,23.90,-10.03,1.000000,1.500001,
22.9599,13.6916,251.61,6.92,23.87,-10.03,1.000000,1.500001,
23.0034,13.7089,251.71,6.91,23.84,-10.02,1.000000,1.500001,
23.0469,13.7262,251.81,6.90,23.81,-10.02,1.000000,1.500001,
23.0904,13.7435,251.90,6.88,23.78,-10.01,1.000000,1.500001,
23.1340,13.7608,252.00,6.87,23.74,-10.00,1.000000,1.500001,
23.1776,13.7781,252.10,6.86,23.71,-10.00,1.000000,1.500001,
23.2211,13.7954,252.19,6.84,23.68,-9.99,1.000000,1.500001,
23.2648,13.8126,252.29,6.83,23.65,-9.99,1.000000,1.500001,
23.3084,13.8299,252.38,6.82,23.62,-9.98,1.000000,1.500001,
23.3520,13.8472,252.48,6.81,23.59,-9.98,1.000000,1.500001,
23.3957,13.8645,252.57,6.79,23.55,-9.97,1.000000,1.500001,
23.4393,13.8818,252.67,6.78,23.52,-9.96,1.000000,1.500001,
23.4830,13.8991,252.77,6.77,23.49,-9.96,1.000000,1.500001,
23.5267,13.9164,252.86,6.75,23.46,-9.95,1.000000,1.500001,
23.5705,13.9337,252.96,6.74,23.43,-9.95,1.000000,1.500001,
23.6142,13.9509,253.05,6.73,23.40,-9.94,1.000000,1.500001,
23.6579,13.9682,253.14,6.72,23.37,-9.93,1.000000,1.500001,
23.7017,13.9855,253.24,6.70,23.34,-9.93,1.000000,1.500001,
23.7455,14.0028,253.33,6.69,23.31,-9.92,1.000000,1.500001,
23.7893,14.0201,253.43,6.68,23.28,-9.92,1.000000,1.500001,
23.8331,14.0374,253.52,6.67,23.25,-9.91,1.000000,1.500001,
23.8770,14.0547,253.61,6.65,23.21,-9.91,1.000000,1.500001,
23.9208,14.0720,253.71,6.64,23.18,-9.90,1.000000,1.500001,
23.9647,14.0892,253.80,6.63,23.15,-9.89,1.000000,1.500001,
24.0086,14.1065,253.89,6.62,23.12,-9.89,1.000000,1.500001,
24.0525,14.1238,253.99,6.61,23.09,-9.88,1.000000,1.500001,
24.0964,14.1411,254.08,6.59,23.06,-9.88,1.000000,1.500001,
24.1403,14.1584,254.17,6.58,23.03,-9.87,1.000000,1.500001,
24.1843,14.1757,254.27,6.57,23.00,-9.86,1.000000,1.500001,
24.2282,14.1930,254.36,6.56,22.97,-9.86,1.000000,1.500001,
24.2722,14.2103,254.45,6.54,22.94,-9.85,1.000000,1.500001,
24.3162,14.2275,254.54,6.53,22.91,-9.85,1.000000,1.500001,
24.3602,14.2448,254.63,6.52,22.88,-9.84,1.000000,1.500001,
24.4042,14.2621,254.73,6.51,22.85,-9.84,1.000000,1.500001,
24.4483,14.2794,254.82,6.50,22.82,-9.83,1.000000,1.500001,
24.4923,14.2967,254.91,6.49,22.79,-9.82,1.000000,1.500001,
24.5364,14.3140,255.00,6.47,22.76,-9.82,1.000000,1.500001,
24.5805,14.3313,255.09,6.46,22.74,-9.81,1.000000,1.500001,
24.6246,14.3486,255.18,6.45,22.71,-9.81,1.000000,1.500001,
24.6687,14.3658,255.27,6.44,22.68,-9.80,1.000000,1.500001,
24.7129,14.3831,255.36,6.43,22.65,-9.79,1.000000,1.500001,
24.7570,14.4004,255.45,6.41,22.62,-9.79,1.000000,1.500001,
24.8012,14.4177,255.54,6.40,22.59,-9.78,1.000000,1.500001,
24.8454,14.4350,255.63,6.39,22.56,-9.78,1.000000,1.500001,
24.8896,14.4523,255.72,6.38,22.53,-9.77,1.000000,1.500001,
24.9338,14.4696,255.81,6.37,22.50,-9.77,1.000000,1.500001,
24.9780,14.4869,255.90,6.36,22.47,-9.76,1.000000,1.500001,
25.0223,14.5041,255.99,6.35,22.45,-9.75,1.000000,1.500001,
25.0665,14.5214,256.08,6.33,22.42,-9.75,1.000000,1.500001,
25.1108,14.5387,256.17,6.32,22.39,-9.74,1.000000,1.500001,
25.1551,14.5560,256.26,6.31,22.36,-9.74,1.000000,1.500001,
25.1994,14.5733,256.35,6.30,22.33,-9.73,1.000000,1.500001,
25.2437,14.5906,256.43,6.29,22.30,-9.72,1.000000,1.500001,
25.2881,14.6079,256.52,6.28,22.27,-9.72,1.000000,1.500001,
25.3324,14.6251,256.61,6.27,22.25,-9.71,1.000000,1.500001,
25.3768,14.6424,256.70,6.26,22.22,-9.71,1.000000,1.500001,
25.4212,14.6597,256.79,6.24,22.19,-9.70,1.000000,1.500001,
25.4656,14.6770,256.87,6.23,22.16,-9.70,1.000000,1.500001,
25.5100,14.6943,256.96,6.22,22.13,-9.69,1.000000,1.500001,
25.5544,14.7116,257.05,6.21,22.11,-9.68,1.000000,1.500001,
25.5989,14.7289,257.14,6.20,22.08,-9.68,1.000000,1.500001,
25.6433,14.7462,257.22,6.19,22.05,-9.67,1.000000,1.500001,
25.6878,14.7634,257.31,6.18,22.02,-9.67,1.000000,1.500001,
25.7323,14.7807,257.40,6.17,21.99,-9.66,1.000000,1.500001,
25.7768,14.7980,257.48,6.16,21.97,-9.66,1.000000,1.500001,
25.8213,14.8153,257.57,6.15,21.94,-9.65,1.000000,1.500001,
25.8659,14.8326,257.66,6.13,21.91,-9.64,1.000000,1.500001,
25.9104,14.8499,257.74,6.12,21.88,-9.64,1.000000,1.500001,
25.9550,14.8672,257.83,6.11,21.86,-9.63,1.000000,1.500001,
25.9995,14.8845,257.92,6.10,21.83,-9.63,1.000000,1.500001,
26.0441,14.9017,258.00,6.09,21.80,-9.62,1.000000,1.500001,
26.0888,14.9190,258.09,6.08,21.78,-9.61,1.000000,1.500001,
26.1334,14.9363,258.17,6.07,21.75,-9.61,1.000000,1.500001,
26.1780,14.9536,258.26,6.06,21.72,-9.60,1.000000,1.500001,
26.2227,14.9709,258.34,6.05,21.69,-9.60,1.000000,1.500001,
26.2673,14.9882,258.43,6.04,21.67,-9.59,1.000000,1.500001,
26.3120,15.0055,258.51,6.03,21.64,-9.59,1.000000,1.500001,
26.3567,15.0228,258.60,6.02,21.61,-9.58,1.000000,1.500001,
26.4014,15.0400,258.68,6.01,21.59,-9.57,1.000000,1.500001,
26.4462,15.0573,258.77,6.00,21.56,-9.57,1.000000,1.500001,
26.4909,15.0746,258.85,5.99,21.53,-9.56,1.000000,1.500001,
26.5357,15.0919,258.93,5.98,21.51,-9.56,1.000000,1.500001,
26.5804,15.1092,259.02,5.96,21.48,-9.55,1.000000,1.500001,
26.6252,15.1265,259.10,5.95,21.45,-9.55,1.000000,1.500001,
26.6700,15.1438,259.19,5.94,21.43,-9.54,1.000000,1.500001,
26.7148,15.1611,259.27,5.93,21.40,-9.53,1.000000,1.500001,
26.7596,15.1783,259.35,5.92,21.38,-9.53,1.000000,1.500001,
26.8045,15.1956,259.44,5.91,21.35,-9.52,1.000000,1.500001,
26.8493,15.2129,259.52,5.90,21.32,-9.52,1.000000,1.500001,
26.8942,15.2302,259.60,5.89,21.30,-9.51,1.000000,1.500001,
26.9391,15.2475,259.68,5.88,21.27,-9.51,1.000000,1.500001,
26.9840,15.2648,259.77,5.87,21.25,-9.50,1.000000,1.500001,
27.0289,15.2821,259.85,5.86,21.22,-9.49,1.000000,1.500001,
27.0738,15.2994,259.93,5.85,21.19,-9.49,1.000000,1.500001,
27.1188,15.3166,260.01,5.84,21.17,-9.48,1.000000,1.500001,
27.1637,15.3339,260.10,5.83,21.14,-9.48,1.000000,1.500001,
27.2087,15.3512,260.18,5.82,21.12,-9.47,1.000000,1.500001,
27.2537,15.3685,260.26,5.81,21.09,-9.47,1.000000,1.500001,
27.2987,15.3858,260.34,5.80,21.07,-9.46,1.000000,1.500001,
27.3437,15.4031,260.42,5.79,21.04,-9.45,1.000000,1.500001,
27.3887,15.4204,260.50,5.78,21.01,-9.45,1.000000,1.500001,
27.4338,15.4377,260.59,5.77,20.99,-9.44,1.000000,1.500001,
27.4788,15.4549,260.67,5.76,20.96,-9.44,1.000000,1.500001,
27.5239,15.4722,260.75,5.75,20.94,-9.43,1.000000,1.500001,
27.5690,15.4895,260.83,5.74,20.91,-9.43,1.000000,1.500001,
27.6141,15.5068,260.91,5.73,20.89,-9.42,1.000000,1.500001,
27.6592,15.5241,260.99,5.72,20.86,-9.41,1.000000,1.500001,
27.7043,15.5414,261.07,5.71,20.84,-9.41,1.000000,1.500001,
27.7495,15.5587,261.15,5.71,20.81,-9.40,1.000000,1.500001,
27.7946,15.5760,261.23,5.70,20.79,-9.40,1.000000,1.500001,
27.8398,15.5932,261.31,5.69,20.76,-9.39,1.000000,1.500001,
27.8850,15.6105,261.39,5.68,20.74,-9.39,1.000000,1.500001,
27.9302,15.6278,261.47,5.67,20.71,-9.38,1.000000,1.500001,
27.9754,15.6451,261.55,5.66,20.69,-9.37,1.000000,1.500001,
28.0206,15.6624,261.63,5.65,20.66,-9.37,1.000000,1.500001,
28.0658,15.6797,261.71,5.64,20.64,-9.36,1.000000,1.500001,
28.1111,15.6970,261.79,5.63,20.62,-9.36,1.000000,1.500001,
28.1563,15.7143,261.87,5.62,20.59,-9.35,1.000000,1.500001,
28.2016,15.7315,261.95,5.61,20.57,-9.35,1.000000,1.500001,
28.2469,15.7488,262.02,5.60,20.54,-9.34,1.000000,1.500001,
28.2922,15.7661,262.10,5.59,20.52,-9.34,1.000000,1.500001,
28.3375,15.7834,262.18,5.58,20.49,-9.33,1.000000,1.500001,
28.3829,15.8007,262.26,5.57,20.47,-9.32,1.000000,1.500001,
28.4282,15.8180,262.34,5.56,20.45,-9.32,1.000000,1.500001,
28.4736,15.8353,262.42,5.55,20.42,-9.31,1.000000,1.500001,
28.5189,15.8526,262.50,5.55,20.40,-9.31,1.000000,1.500001,
28.5643,15.8698,262.57,5.54,20.37,-9.30,1.000000,1.500001,
28.6097,15.8871,262.65,5.53,20.35,-9.30,1.000000,1.500001,
28.6551,15.9044,262.73,5.52,20.33,-9.29,1.000000,1.500001,
28.7006,15.9217,262.81,5.51,20.30,-9.28,1.000000,1.500001,
28.7460,15.9390,262.88,5.50,20.28,-9.28,1.000000,1.500001,
28.7914,15.9563,262.96,5.49,20.25,-9.27,1.000000,1.500001,
28.8369,15.9736,263.04,5.48,20.23,-9.27,1.000000,1.500001,
28.8824,15.9909,263.11,5.47,20.21,-9.26,1.000000,1.500001,
28.9279,16.0081,263.19,5.46,20.18,-9.26,1.000000,1.500001,
28.9734,16.0254,263.27,5.45,20.16,-9.25,1.000000,1.500001,
29.0189,16.0427,263.34,5.45,20.14,-9.25,1.000000,1.500001,
29.0644,16.0600,263.42,5.44,20.11,-9.24,1.000000,1.500001,
29.1100,16.0773,263.50,5.43,20.09,-9.23,1.000000,1.500001,
29.1555,16.0946,263.57,5.42,20.07,-9.23,1.000000,1.500001,
29.2011,16.1119,263.65,5.41,20.04,-9.22,1.000000,1.500001,
29.2467,16.1292,263.73,5.40,20.02,-9.22,1.000000,1.500001,
29.2923,16.1464,263.80,5.39,20.00,-9.21,1.000000,1.500001,
29.3379,16.1637,263.88,5.38,19.97,-9.21,1.000000,1.500001,
29.3835,16.1810,263.95,5.37,19.95,-9.20,1.000000,1.500001,
29.4292,16.1983,264.03,5.37,19.93,-9.20,1.000000,1.500001,
29.4748,16.2156,264.10,5.36,19.90,-9.19,1.000000,1.500001,
29.5205,16.2329,264.18,5.35,19.88,-9.18,1.000000,1.500001,
29.5662,16.2502,264.25,5.34,19.86,-9.18,1.000000,1.500001,
29.6119,16.2675,264.33,5.33,19.84,-9.17,1.000000,1.500001,
29.6576,16.2847,264.40,5.32,19.81,-9.17,1.000000,1.500001,
29.7033,16.3020,264.48,5.31,19.79,-9.16,1.000000,1.500001,
29.7490,16.3193,264.55,5.31,19.77,-9.16,1.000000,1.500001,
29.7947,16.3366,264.63,5.30,19.75,-9.15,1.000000,1.500001,
29.8405,16.3539,264.70,5.29,19.72,-9.15,1.000000,1.500001,
29.8863,16.3712,264.78,5.28,19.70,-9.14,1.000000,1.500001,
29.9320,16.3885,264.85,5.27,19.68,-9.14,1.000000,1.500001,
29.9778,16.4058,264.93,5.26,19.66,-9.13,1.000000,1.500001,
30.0236,16.4230,265.00,5.25,19.63,-9.12,1.000000,1.500001,
30.0695,16.4403,265.07,5.25,19.61,-9.12,1.000000,1.500001,
30.1153,16.4576,265.15,5.24,19.59,-9.11,1.000000,1.500001,
30.1611,16.4749,265.22,5.23,19.57,-9.11,1.000000,1.500001,
30.2070,16.4922,265.29,5.22,19.54,-9.10,1.000000,1.500001,
30.2529,16.5095,265.37,5.21,19.52,-9.10,1.000000,1.500001,
30.2987,16.5268,265.44,5.20,19.50,-9.09,1.000000,1.500001,
30.3446,16.5441,265.51,5.20,19.48,-9.09,1.000000,1.500001,
30.3905,16.5613,265.59,5.19,19.46,-9.08,1.000000,1.500001,
30.4365,16.5786,265.66,5.18,19.43,-9.07,1.000000,1.500001,
30.4824,16.5959,265.73,5.17,19.41,-9.07,1.000000,1.500001,
30.5283,16.6132,265.81,5.16,19.39,-9.06,1.000000,1.500001,
30.5743,16.6305,265.88,5.15,19.37,-9.06,1.000000,1.500001,
30.6203,16.6478,265.95,5.15,19.35,-9.05,1.000000,1.500001,
30.6662,16.6651,266.02,5.14,19.32,-9.05,1.000000,1.500001,
30.7122,16.6824,266.09,5.13,19.30,-9.04,1.000000,1.500001,
30.7582,16.6996,266.17,5.12,19.28,-9.04,1.000000,1.500001,
30.8043,16.7169,266.24,5.11,19.26,-9.03,1.000000,1.500001,
30.8503,16.7342,266.31,5.11,19.24,-9.03,1.000000,1.500001,
30.8963,16.7515,266.38,5.10,19.22,-9.02,1.000000,1.500001,
30.9424,16.7688,266.45,5.09,19.20,-9.01,1.000000,1.500001,
30.9885,16.7861,266.53,5.08,19.17,-9.01,1.000000,1.500001,
31.0345,16.8034,266.60,5.07,19.15,-9.00,1.000000,1.500001,
31.0806,16.8207,266.67,5.07,19.13,-9.00,1.000000,1.500001,
31.1267,16.8379,266.74,5.06,19.11,-8.99,1.000000,1.500001,
31.1729,16.8552,266.81,5.05,19.09,-8.99,1.000000,1.500001,
31.2190,16.8725,266.88,5.04,19.07,-8.98,1.000000,1.500001,
31.2651,16.8898,266.95,5.03,19.05,-8.98,1.000000,1.500001,
31.3113,16.9071,267.02,5.03,19.03,-8.97,1.000000,1.500001,
31.3575,16.9244,267.09,5.02,19.00,-8.97,1.000000,1.500001,
31.4036,16.9417,267.16,5.01,18.98,-8.96,1.000000,1.500001,
31.4498,16.9590,267.23,5.00,18.96,-8.96,1.000000,1.500001,
31.4960,16.9762,267.30,5.00,18.94,-8.95,1.000000,1.500001,
31.5423,16.9935,267.38,4.99,18.92,-8.94,1.000000,1.500001,
31.5885,17.0108,267.45,4.98,18.90,-8.94,1.000000,1.500001,
31.6347,17.0281,267.52,4.97,18.88,-8.93,1.000000,1.500001,
31.6810,17.0454,267.58,4.96,18.86,-8.93,1.000000,1.500001,
31.7272,17.0627,267.65,4.96,18.84,-8.92,1.000000,1.500001,
31.7735,17.0800,267.72,4.95,18.82,-8.92,1.000000,1.500001,
31.8198,17.0972,267.79,4.94,18.80,-8.91,1.000000,1.500001,
31.8661,17.1145,267.86,4.93,18.78,-8.91,1.000000,1.500001,
31.9124,17.1318,267.93,4.93,18.76,-8.90,1.000000,1.500001,
31.9587,17.1491,268.00,4.92,18.73,-8.90,1.000000,1.500001,
32.0051,17.1664,268.07,4.91,18.71,-8.89,1.000000,1.500001,
32.0514,17.1837,268.14,4.90,18.69,-8.89,1.000000,1.500001,
32.0978,17.2010,268.21,4.90,18.67,-8.88,1.000000,1.500001,
32.1442,17.2183,268.28,4.89,18.65,-8.88,1.000000,1.500001,
32.1905,17.2355,268.35,4.88,18.63,-8.87,1.000000,1.500001,
32.2369,17.2528,268.41,4.87,18.61,-8.86,1.000000,1.500001,
32.2833,17.2701,268.48,4.87,18.59,-8.86,1.000000,1.500001,
32.3298,17.2874,268.55,4.86,18.57,-8.85,1.000000,1.500001,
32.3762,17.3047,268.62,4.85,18.55,-8.85,1.000000,1.500001,
32.4226,17.3220,268.69,4.84,18.53,-8.84,1.000000,1.500001,
32.4691,17.3393,268.76,4.84,18.51,-8.84,1.000000,1.500001,
32.5156,17.3566,268.82,4.83,18.49,-8.83,1.000000,1.500001,
