t_ms,p_MPa
4.84048,26.2829
4.85776,26.197
4.87505,26.1113
4.89234,26.0259
4.90962,25.9409
4.92691,25.8561
4.9442,25.7717
4.96149,25.6875
4.97877,25.6036
4.99606,25.5201
5.01335,25.4368
5.03064,25.3538
5.04792,25.2711
5.06521,25.1887
5.0825,25.1066
5.09979,25.0248
5.11707,24.9433
5.13436,24.8621
5.15165,24.7812
5.16894,24.7006
5.18622,24.6203
5.20351,24.5403
5.2208,24.4606
5.23809,24.3811
5.25537,24.302
5.27266,24.2232
5.28995,24.1446
5.30724,24.0663
5.32452,23.9884
5.34181,23.9107
5.3591,23.8333
5.37638,23.7562
5.39367,23.6794
5.40491,23.6297
5.41096,23.6025
5.42825,23.5251
5.44553,23.448
5.46282,23.3712
5.48011,23.2946
5.4974,23.2184
5.51468,23.1425
5.53197,23.0668
5.54926,22.9915
5.56655,22.9164
5.58383,22.8417
5.60112,22.7672
5.61841,22.6931
5.6357,22.6192
5.65298,22.5456
5.67027,22.4723
5.68756,22.3993
5.70485,22.3265
5.72213,22.2541
5.73942,22.1819
5.75671,22.1101
5.774,22.0385
5.79128,21.9672
5.80857,21.8962
5.82586,21.8254
5.84314,21.755
5.86043,21.6848
5.87772,21.6149
5.89501,21.5453
5.91229,21.476
5.92958,21.4069
5.94687,21.3382
5.96416,21.2697
5.98144,21.2014
5.99873,21.1335
6.01602,21.0658
6.03331,20.9984
6.05059,20.9313
6.06788,20.8644
6.08517,20.7979
6.10246,20.7315
6.11974,20.6655
6.13703,20.5997
6.15432,20.5342
6.17161,20.469
6.18889,20.404
6.20618,20.3393
6.22347,20.2748
6.24076,20.2106
6.25804,20.1467
6.27533,20.083
6.29262,20.0196
6.30991,19.9565
6.32719,19.8936
6.34448,19.831
6.36177,19.7686
6.37905,19.7065
6.39634,19.6446
6.41363,19.583
6.43092,19.5216
6.4482,19.4605
6.46549,19.3996
6.48278,19.339
6.50007,19.2787
6.51735,19.2186
6.53464,19.1587
6.55193,19.0991
6.56922,19.0397
6.5865,18.9806
6.60379,18.9217
6.62108,18.8631
6.63837,18.8047
6.65565,18.7465
6.67294,18.6886
6.69023,18.6309
6.70752,18.5735
6.7248,18.5162
6.74209,18.4593
6.75938,18.4025
6.77667,18.346
6.79395,18.2898
6.81124,18.2337
6.82853,18.1779
6.84581,18.1223
6.8631,18.067
6.88039,18.0119
6.89768,17.957
6.91496,17.9023
6.93225,17.8479
6.94954,17.7937
6.96683,17.7397
6.98411,17.6859
7.0014,17.6324
7.01869,17.579
7.03598,17.5259
7.05326,17.4731
7.07055,17.4204
7.08784,17.3679
7.10513,17.3157
7.12241,17.2637
7.1397,17.2119
7.15699,17.1603
7.17428,17.1089
7.19156,17.0577
7.20885,17.0068
7.22614,16.956
7.24343,16.9055
7.26071,16.8552
7.278,16.8051
7.29529,16.7551
7.31257,16.7054
7.32986,16.6559
7.34715,16.6066
7.36444,16.5575
7.38172,16.5086
7.39901,16.4599
7.4163,16.4114
7.43359,16.3631
7.45087,16.315
7.46816,16.2671
7.48545,16.2194
7.50274,16.1719
7.52002,16.1246
7.53731,16.0775
7.5546,16.0306
7.57189,15.9838
7.58917,15.9373
7.60646,15.891
7.62375,15.8448
7.64104,15.7988
7.65832,15.753
7.67561,15.7074
7.6929,15.662
7.71019,15.6168
7.72747,15.5718
7.74476,15.5269
7.76205,15.4822
7.77934,15.4377
7.79662,15.3934
7.81391,15.3493
7.8312,15.3053
7.84848,15.2616
7.86577,15.218
7.88306,15.1746
7.90035,15.1313
7.91763,15.0882
7.93492,15.0454
7.95221,15.0026
7.9695,14.9601
7.98678,14.9177
8.00407,14.8755
8.02136,14.8335
8.03865,14.7916
8.05593,14.75
8.07322,14.7084
8.09051,14.6671
8.1078,14.6259
8.12508,14.5849
8.14237,14.544
8.15966,14.5033
8.17695,14.4628
8.19423,14.4225
8.21152,14.3823
8.22881,14.3422
8.2461,14.3023
8.26338,14.2626
8.28067,14.2231
8.29796,14.1837
8.31524,14.1444
8.33253,14.1053
8.34982,14.0664
8.36711,14.0276
8.38439,13.989
8.40168,13.9506
8.41897,13.9123
8.43626,13.8741
8.45354,13.8361
8.47083,13.7983
8.48812,13.7606
8.50541,13.723
8.52269,13.6856
8.53998,13.6483
8.55727,13.6112
8.57456,13.5743
8.59184,13.5375
8.60913,13.5008
8.62642,13.4643
8.64371,13.4279
8.66099,13.3917
8.67828,13.3556
8.69557,13.3196
8.71286,13.2838
8.73014,13.2482
8.74743,13.2127
8.76472,13.1773
8.782,13.142
8.79929,13.1069
8.81658,13.072
8.83387,13.0371
8.85115,13.0024
8.86844,12.9679
8.88573,12.9335
8.90302,12.8992
8.9203,12.865
8.93759,12.831
8.95488,12.7971
8.97217,12.7634
8.98945,12.7297
9.00674,12.6962
9.02403,12.6629
9.04132,12.6297
9.0586,12.5965
9.07589,12.5636
9.09318,12.5307
9.11047,12.498
9.12775,12.4654
9.14504,12.433
9.16233,12.4006
9.17962,12.3684
9.1969,12.3363
9.21419,12.3043
9.23148,12.2725
9.24876,12.2408
9.26605,12.2092
9.28334,12.1777
9.30063,12.1463
9.31791,12.1151
9.3352,12.084
9.35249,12.053
9.36978,12.0221
9.38706,11.9914
9.40435,11.9607
9.42164,11.9302
9.43893,11.8998
9.45621,11.8695
9.4735,11.8393
9.49079,11.8092
9.50808,11.7793
9.52536,11.7495
9.54265,11.7197
9.55994,11.6901
9.57723,11.6606
9.59451,11.6312
9.6118,11.602
9.62909,11.5728
9.64638,11.5438
9.66366,11.5148
9.68095,11.486
9.69824,11.4573
9.71553,11.4286
9.73281,11.4001
9.7501,11.3717
9.76739,11.3434
9.78467,11.3152
9.80196,11.2871
9.81925,11.2592
9.83654,11.2313
9.85382,11.2035
9.87111,11.1759
9.8884,11.1483
9.90569,11.1208
9.92297,11.0935
9.94026,11.0662
9.95755,11.0391
9.97484,11.012
9.99212,10.9851
10.0094,10.9582
10.0267,10.9314
10.044,10.9048
10.0613,10.8782
10.0786,10.8518
10.0958,10.8254
10.1131,10.7991
10.1304,10.773
10.1477,10.7469
10.165,10.7209
10.1823,10.6951
10.1996,10.6693
10.2169,10.6436
10.2341,10.618
10.2514,10.5925
10.2687,10.5671
10.286,10.5417
10.3033,10.5165
10.3206,10.4914
10.3379,10.4663
10.3552,10.4414
10.3724,10.4165
10.3897,10.3918
10.407,10.3671
10.4243,10.3425
10.4416,10.318
10.4589,10.2936
10.4762,10.2693
10.4935,10.245
10.5107,10.2209
10.528,10.1968
10.5453,10.1728
10.5626,10.149
10.5799,10.1252
10.5972,10.1014
10.6145,10.0778
10.6318,10.0543
10.649,10.0308
10.6663,10.0074
10.6836,9.98412
10.7009,9.96091
10.7182,9.93778
10.7355,9.91473
10.7528,9.89176
