l_dm,p_MPa
5.0363,23.448
5.06499,23.3712
5.09372,23.2946
5.12252,23.2184
5.15137,23.1425
5.18027,23.0668
5.20924,22.9915
5.23826,22.9164
5.26733,22.8417
5.29646,22.7672
5.32565,22.6931
5.35489,22.6192
5.38418,22.5456
5.41353,22.4723
5.44294,22.3993
5.4724,22.3265
5.50191,22.2541
5.53148,22.1819
5.5611,22.1101
5.59078,22.0385
5.6205,21.9672
5.65029,21.8962
5.68012,21.8254
5.71001,21.755
5.73995,21.6848
5.76995,21.6149
5.79999,21.5453
5.83009,21.476
5.86024,21.4069
5.89045,21.3382
5.9207,21.2697
5.95101,21.2014
5.98137,21.1335
6.01178,21.0658
6.04224,20.9984
6.07275,20.9313
6.10331,20.8644
6.13393,20.7979
6.16459,20.7315
6.19531,20.6655
6.22607,20.5997
6.25689,20.5342
6.28775,20.469
6.31867,20.404
6.34963,20.3393
6.38064,20.2748
6.41171,20.2106
6.44282,20.1467
6.47398,20.083
6.50519,20.0196
6.53645,19.9565
6.56776,19.8936
6.59911,19.831
6.63051,19.7686
6.66197,19.7065
6.69347,19.6446
6.72501,19.583
6.75661,19.5216
6.78825,19.4605
6.81994,19.3996
6.85168,19.339
6.88346,19.2787
6.91529,19.2186
6.94717,19.1587
6.97909,19.0991
7.01106,19.0397
7.04308,18.9806
7.07514,18.9217
7.10725,18.8631
7.13941,18.8047
7.17161,18.7465
7.20385,18.6886
7.23614,18.6309
7.26848,18.5735
7.30086,18.5162
7.33329,18.4593
7.36576,18.4025
7.39828,18.346
7.43084,18.2898
7.46344,18.2337
7.49609,18.1779
7.52879,18.1223
7.56153,18.067
7.59431,18.0119
7.62713,17.957
7.66,17.9023
7.69292,17.8479
7.72587,17.7937
7.75887,17.7397
7.79191,17.6859
7.825,17.6324
7.85813,17.579
7.8913,17.5259
7.92451,17.4731
7.95777,17.4204
7.99107,17.3679
8.02441,17.3157
8.05779,17.2637
8.09122,17.2119
8.12468,17.1603
8.15819,17.1089
8.19174,17.0577
8.22533,17.0068
8.25897,16.956
8.29264,16.9055
8.32636,16.8552
8.36011,16.8051
8.39391,16.7551
8.42775,16.7054
8.46163,16.6559
8.49554,16.6066
8.5295,16.5575
8.5635,16.5086
8.59754,16.4599
8.63162,16.4114
8.66574,16.3631
8.6999,16.315
8.7341,16.2671
8.76834,16.2194
8.80262,16.1719
8.83693,16.1246
8.87129,16.0775
8.90568,16.0306
8.94012,15.9838
8.97459,15.9373
9.0091,15.891
9.04365,15.8448
9.07824,15.7988
9.11287,15.753
9.14754,15.7074
9.18224,15.662
9.21698,15.6168
9.25176,15.5718
9.28658,15.5269
9.32144,15.4822
9.35633,15.4377
9.39126,15.3934
9.42623,15.3493
9.46124,15.3053
9.49628,15.2616
9.53136,15.218
9.56647,15.1746
9.60163,15.1313
9.63682,15.0882
9.67205,15.0454
9.70731,15.0026
9.74261,14.9601
9.77795,14.9177
9.81332,14.8755
9.84873,14.8335
9.88417,14.7916
9.91965,14.75
9.95517,14.7084
9.99072,14.6671
10.0263,14.6259
10.0619,14.5849
10.0976,14.544
10.1333,14.5033
10.169,14.4628
10.2048,14.4225
10.2406,14.3823
10.2764,14.3422
10.3123,14.3023
10.3482,14.2626
10.3841,14.2231
10.4201,14.1837
10.4561,14.1444
10.4922,14.1053
10.5282,14.0664
10.5643,14.0276
10.6005,13.989
10.6367,13.9506
10.6729,13.9123
10.7091,13.8741
10.7454,13.8361
10.7817,13.7983
10.8181,13.7606
10.8545,13.723
10.8909,13.6856
10.9273,13.6483
10.9638,13.6112
11.0003,13.5743
11.0369,13.5375
11.0734,13.5008
11.1101,13.4643
11.1467,13.4279
11.1834,13.3917
11.2201,13.3556
11.2568,13.3196
11.2936,13.2838
11.3304,13.2482
11.3673,13.2127
11.4041,13.1773
11.441,13.142
11.478,13.1069
11.5149,13.072
11.5519,13.0371
11.589,13.0024
11.626,12.9679
11.6631,12.9335
11.7003,12.8992
11.7374,12.865
11.7746,12.831
11.8118,12.7971
11.8491,12.7634
11.8864,12.7297
11.9237,12.6962
11.961,12.6629
