l_dm,v_m_s
5.50191,170.88
5.53148,171.192
5.5611,171.504
5.59078,171.814
5.6205,172.124
5.65029,172.432
5.68012,172.739
5.71001,173.046
5.73995,173.351
5.76995,173.656
5.79999,173.959
5.83009,174.261
5.86024,174.563
5.89045,174.863
5.9207,175.163
5.95101,175.462
5.98137,175.759
6.01178,176.056
6.04224,176.352
6.07275,176.646
6.10331,176.94
6.13393,177.233
6.16459,177.525
6.19531,177.816
6.22607,178.106
6.25689,178.395
6.28775,178.684
6.31867,178.971
6.34963,179.258
6.38064,179.543
6.41171,179.828
6.44282,180.111
6.47398,180.394
6.50519,180.676
6.53645,180.957
6.56776,181.237
6.59911,181.517
6.63051,181.795
6.66197,182.073
6.69347,182.349
6.72501,182.625
6.75661,182.9
6.78825,183.174
6.81994,183.447
6.85168,183.72
6.88346,183.991
6.91529,184.262
6.94717,184.532
6.97909,184.8
7.01106,185.069
7.04308,185.336
7.07514,185.602
7.10725,185.868
7.13941,186.133
7.17161,186.397
7.20385,186.66
7.23614,186.922
7.26848,187.184
7.30086,187.445
7.33329,187.705
7.36576,187.964
7.39828,188.222
7.43084,188.48
7.46344,188.737
7.49609,188.993
7.52879,189.248
7.56153,189.502
7.59431,189.756
7.62713,190.009
7.66,190.261
7.69292,190.512
7.72587,190.763
7.75887,191.012
7.79191,191.262
7.825,191.51
7.85813,191.757
7.8913,192.004
7.92451,192.25
7.95777,192.496
7.99107,192.74
8.02441,192.984
8.05779,193.227
8.09122,193.469
8.12468,193.711
8.15819,193.952
8.19174,194.192
8.22533,194.432
8.25897,194.671
8.29264,194.909
8.32636,195.146
8.36011,195.383
8.39391,195.619
8.42775,195.854
8.46163,196.088
8.49554,196.322
8.5295,196.555
8.5635,196.788
8.59754,197.02
8.63162,197.251
8.66574,197.481
8.6999,197.711
8.7341,197.94
8.76834,198.168
8.80262,198.396
8.83693,198.623
8.87129,198.849
8.90568,199.075
8.94012,199.3
8.97459,199.525
9.0091,199.748
9.04365,199.972
9.07824,200.194
9.11287,200.416
9.14754,200.637
9.18224,200.858
9.21698,201.077
9.25176,201.297
9.28658,201.515
9.32144,201.733
9.35633,201.951
9.39126,202.168
9.42623,202.384
9.46124,202.599
9.49628,202.814
9.53136,203.028
9.56647,203.242
9.60163,203.455
9.63682,203.668
9.67205,203.879
9.70731,204.091
9.74261,204.301
9.77795,204.511
9.81332,204.721
9.84873,204.93
9.88417,205.138
9.91965,205.346
9.95517,205.553
9.99072,205.759
10.0263,205.965
10.0619,206.171
10.0976,206.375
10.1333,206.58
10.169,206.783
10.2048,206.986
10.2406,207.189
10.2764,207.391
10.3123,207.592
10.3482,207.793
10.3841,207.993
10.4201,208.193
10.4561,208.392
10.4922,208.591
10.5282,208.789
10.5643,208.986
10.6005,209.183
10.6367,209.38
10.6729,209.576
10.7091,209.771
10.7454,209.966
10.7817,210.16
10.8181,210.354
10.8545,210.547
10.8909,210.74
10.9273,210.932
10.9638,211.123
11.0003,211.315
11.0369,211.505
11.0734,211.695
11.1101,211.885
11.1467,212.074
11.1834,212.262
11.2201,212.451
11.2568,212.638
11.2936,212.825
11.3304,213.012
11.3673,213.198
11.4041,213.383
11.441,213.568
11.478,213.753
11.5149,213.937
11.5519,214.12
11.589,214.303
11.626,214.486
11.6631,214.668
11.7003,214.85
11.7374,215.031
11.7746,215.212
11.8118,215.392
11.8491,215.571
11.8864,215.751
11.9237,215.929
11.961,216.108
11.9984,216.285
12.0358,216.463
12.0732,216.64
12.1107,216.816
12.1482,216.992
12.1857,217.168
12.2233,217.343
12.2609,217.517
12.2985,217.691
12.3361,217.865
12.3738,218.038
12.4115,218.211
12.4493,218.383
12.487,218.555
12.5248,218.727
12.5626,218.898
12.6005,219.068
12.6384,219.238
12.6763,219.408
12.7143,219.577
12.7522,219.746
12.7902,219.915
12.8283,220.083
12.8663,220.25
12.9044,220.417
12.9425,220.584
12.9807,220.75
13.0189,220.916
13.0571,221.081
13.0953,221.246
13.1336,221.411
13.1718,221.575
13.2102,221.739
13.2485,221.902
13.2869,222.065
13.3253,222.228
13.3637,222.39
13.4022,222.552
13.4407,222.713
13.4792,222.874
13.5177,223.034
13.5563,223.194
13.5949,223.354
13.6335,223.513
13.6722,223.672
13.7109,223.831
13.7496,223.989
13.7883,224.147
13.8271,224.304
13.8659,224.461
13.9047,224.617
13.9435,224.774
13.9824,224.929
14.0213,225.085
14.0602,225.24
14.0992,225.394
14.1381,225.549
14.1771,225.703
14.2162,225.856
14.2552,226.009
14.2943,226.162
14.3334,226.314
14.3726,226.466
14.4117,226.618
14.4509,226.769
14.4901,226.92
14.5294,227.071
14.5686,227.221
14.6079,227.371
14.6473,227.52
14.6866,227.67
14.726,227.818
14.7654,227.967
14.8048,228.115
14.8442,228.262
14.8837,228.41
14.9232,228.557
14.9627,228.703
15.0023,228.85
15.0419,228.996
15.0815,229.141
15.1211,229.287
15.1607,229.431
15.2004,229.576
15.2401,229.72
15.2798,229.864
15.3196,230.008
15.3594,230.151
15.3992,230.294
15.439,230.436
15.4788,230.578
15.5187,230.72
15.5586,230.862
15.5985,231.003
15.6385,231.144
15.6784,231.284
15.7184,231.425
15.7585,231.565
15.7985,231.704
15.8386,231.843
15.8787,231.982
15.9188,232.121
15.9589,232.259
15.9991,232.397
16.0393,232.535
16.0795,232.672
16.1197,232.809
16.16,232.946
16.2003,233.082
16.2406,233.218
16.2809,233.354
16.3212,233.49
16.3616,233.625
16.402,233.76
16.4424,233.894
16.4829,234.028
16.5234,234.162
16.5638,234.296
16.6044,234.429
16.6449,234.562
16.6855,234.695
16.726,234.827
16.7667,234.959
16.8073,235.091
16.8479,235.223
16.8886,235.354
16.9293,235.485
16.97,235.616
17.0108,235.746
17.0515,235.876
17.0923,236.006
17.1331,236.135
17.174,236.264
17.2148,236.393
17.2557,236.522
17.2966,236.65
17.3375,236.778
17.3785,236.906
17.4194,237.034
17.4604,237.161
17.5014,237.288
17.5425,237.414
17.5613,237.472
17.5835,237.541
17.6246,237.667
17.6657,237.793
17.7068,237.918
17.7479,238.043
17.7891,238.168
17.8303,238.293
17.8715,238.417
17.9127,238.542
17.954,238.665
17.9952,238.789
18.0365,238.912
18.0778,239.036
18.1192,239.158
18.1605,239.281
18.2019,239.403
18.2433,239.525
18.2847,239.647
18.3262,239.768
18.3676,239.89
18.4091,240.011
18.4506,240.131
18.4921,240.252
18.5337,240.372
18.5752,240.492
18.6168,240.612
18.6584,240.731
18.7001,240.85
18.7417,240.969
18.7834,241.088
18.8251,241.206
18.8668,241.324
18.9085,241.442
18.9502,241.56
18.992,241.677
19.0338,241.794
19.0756,241.911
19.1174,242.028
19.1593,242.144
19.2012,242.261
19.2431,242.376
19.285,242.492
19.3269,242.608
19.3689,242.723
19.4108,242.838
19.4528,242.952
19.4948,243.067
19.5369,243.181
19.5789,243.295
19.621,243.409
19.6631,243.522
19.7052,243.636
19.7473,243.749
19.7894,243.862
19.8316,243.974
19.8738,244.087
19.916,244.199
19.9582,244.311
20.0005,244.422
20.0427,244.534
20.085,244.645
20.1273,244.756
20.1696,244.867
20.212,244.977
20.2543,245.087
20.2967,245.198
20.3391,245.307
20.3815,245.417
20.424,245.526
20.4664,245.636
20.5089,245.745
20.5514,245.853
20.5939,245.962
20.6364,246.07
20.679,246.178
20.7215,246.286
20.7641,246.394
20.8067,246.501
20.8494,246.608
20.892,246.715
20.9347,246.822
20.9773,246.929
21.02,247.035
21.0628,247.141
21.1055,247.247
21.1482,247.353
21.191,247.458
21.2338,247.564
21.2766,247.669
21.3194,247.774
21.3623,247.878
21.4051,247.983
21.448,248.087
21.4909,248.191
21.5338,248.295
21.5768,248.399
21.6197,248.502
21.6627,248.605
21.7057,248.708
21.7487,248.811
21.7917,248.914
21.8347,249.016
21.8778,249.118
21.9209,249.22
21.964,249.322
22.0071,249.424
22.0502,249.525
22.0933,249.627
22.1365,249.728
22.1797,249.828
22.2229,249.929
22.2661,250.03
22.3093,250.13
22.3526,250.23
22.3958,250.33
22.4391,250.429
22.4824,250.529
22.5257,250.628
22.5691,250.727
22.6124,250.826
22.6558,250.925
22.6992,251.023
22.7426,251.122
22.786,251.22
22.8295,251.318
22.8729,251.416
22.9164,251.513
22.9599,251.611
23.0034,251.708
23.0469,251.805
23.0904,251.902
23.134,251.999
23.1776,252.095
23.2211,252.191
23.2648,252.288
23.3084,252.384
23.352,252.479
23.3957,252.575
23.4393,252.67
23.483,252.766
23.5267,252.861
23.5705,252.956
23.6142,253.05
23.6579,253.145
23.7017,253.239
23.7455,253.333
23.7893,253.427
23.8331,253.521
23.877,253.615
23.9208,253.708
23.9647,253.802
24.0086,253.895
24.0525,253.988
24.0964,254.081
24.1403,254.173
24.1843,254.266
24.2282,254.358
24.2722,254.45
24.3162,254.542
24.3602,254.634
24.4042,254.725
24.4483,254.817
24.4923,254.908
24.5364,254.999
24.5805,255.09
24.6246,255.181
24.6687,255.271
24.7129,255.362
24.757,255.452
24.8012,255.542
24.8454,255.632
24.8896,255.722
24.9338,255.812
24.978,255.901
25.0223,255.99
25.0665,256.08
25.1108,256.169
25.1551,256.257
25.1994,256.346
25.2437,256.435
25.2881,256.523
25.3324,256.611
25.3768,256.699
25.4212,256.787
25.4656,256.875
25.51,256.962
25.5544,257.05
25.5989,257.137
25.6433,257.224
25.6878,257.311
25.7323,257.398
25.7768,257.484
25.8213,257.571
25.8659,257.657
25.9104,257.743
25.955,257.829
